id,title,url,priority,level,content_type,frequency,status,tech_notes
max.ru,MAX — официальный сайт,https://max.ru/,high,1,"Официальная страница продукта MAX: анонсы и ключевые изменения","По факту обновлений","✅ Активен","Статическая страница; полезно для фиксации изменений в описании/ссылках"
business.max.ru,MAX для бизнеса — официальный портал,https://business.max.ru/,high,1,"Новости/обновления для бизнеса, интеграции, правила использования","Ежедневно / по событию","✅ Активен","На сайте есть ссылка на официальный канал «тренды, новости и обновления» (внутри MAX)"
GitHub: max-messenger,GitHub: max-messenger,https://github.com/max-messenger,high,1,"Исходный код, SDK, релизы, issues","По коммитам / релизам","✅ Активен","GitHub API: /repos/{repo}/releases, RSS-лента"
RuStore: MAX (ru.oneme.app),RuStore: MAX — история версий,https://www.rustore.ru/catalog/app/ru.oneme.app/versions,high,1,"Версии приложения, описания обновлений","По релизам в сторе","✅ Активен","RuStore обычно публикует «историю версий» с описанием изменений"
help.max.ru,MAX — справка/FAQ (официально),https://help.max.ru/,high,1,"Официальные инструкции и справка: изменения интерфейса и функций","По факту обновлений","✅ Активен","Иногда именно здесь фиксируются новые функции и правила"
VK press releases (MAX),VK — пресс-релизы (MAX и мессенджеры),https://vk.company/ru/press/releases/,high,1,"Официальные пресс-релизы VK: крупные обновления, интеграции, показатели","По событиям","✅ Активен","Поиск по странице по ключевым словам: MAX, мессенджер, Сферум"
VK Messenger: официальный сайт,VK Мессенджер — официальный сайт,https://web.vk.me/,high,1,"Официальная страница VK Мессенджера: функциональность и важные изменения","По факту обновлений","✅ Активен","Статическая страница; полезно для фиксации изменений позиционирования и ссылок"
VK press: обновление мессенджера,VK — пресс/новости про обновления мессенджера,https://vk.com/press/messenger-update,high,1,"Официальная публикация VK о крупных обновлениях VK Мессенджера","По факту обновлений","✅ Активен","Публичная страница VK press"
RuStore: VK Мессенджер,RuStore: VK Мессенджер — история версий,https://www.rustore.ru/catalog/app/com.vk.im/versions,high,1,"Версии приложения VK Мессенджер, описание обновлений","По релизам в сторе","✅ Активен","Надёжный источник релиз-нотов для Android"
Sferum: about/timeline,Сферум — официальный раздел «О проекте» (таймлайн обновлений),https://www.sferum.ru/about,high,1,"Официальная информация о Сферум: ключевые обновления по годам/периодам","По факту обновлений","✅ Активен","Хорошо подходит для фиксации крупных изменений продукта"
Sferum: prof portal,Сферум — проф. портал (обновления, инструкции),https://prof.sferum.ru/,high,1,"Подробные материалы про новые функции Сферум и практику использования","По публикациям","✅ Активен","Статьи с описанием возможностей; использовать как близкий к официальному источник"
VK ESG blog (Sferum updates),VK — блог/обновления Сферум (ESG/соцпроекты),https://vk.company/esg/blog/11833/,medium,2,"Официальный материал VK об обновлениях Сферум","По публикациям","✅ Активен","Близко к официальному источнику (vk.company)"
TAdviser: Product:Max,TAdviser: Product:Max,https://tadviser.com/index.php/Product:Max_(messenger),medium,2,"Хронология релизов, аналитика, интеграции","1–2 раза в неделю","✅ Активен","Статическая страница с историей версий"
MinTsifry: новости,MinTsifry: новости,https://digital.gov.ru/ru/news/,medium,2,"Стратегия, нормативные акты, требования к ПО","Ежедневно","✅ Активен","Официальный сайт, возможен RSS-экспорт"
Roskomnadzor: реестры,Roskomnadzor: реестры,https://rkn.gov.ru/activity/connection/register/,medium,2,"Официальные реестры/требования (связь, распространители информации, и др.)","По мере обновления","✅ Активен","На rkn.gov.ru есть несколько реестров; фиксируем изменения страниц/форм"
VK: max.platform,VK: max.platform,https://vk.com/max.platform,medium,2,"Анонсы, вебинары, обновления для разработчиков","Ежедневно / по событию","✅ Активен","Парсинг через VK API (wall.get)"
RIA: MAX news feed,РИА Новости — подборка материалов про MAX,https://ria.ru/product_messendzher-max/,medium,2,"Новости и упоминания MAX в медиа (для контекста; проверять по первоисточникам)","По публикациям","⚠️ Ограничения","Не первоисточник; использовать только как указатель на события и затем подтверждать ссылками"
VK WorkSpace blog: messenger updates,VK WorkSpace — блог (обновления мессенджера),https://workspace.vk.ru/blog/,medium,2,"Официальный блог VK WorkSpace: обновления корпоративного мессенджера","По публикациям","✅ Активен","Близкий к официальному источник (vk.ru)"
Habr: тег MAX,Habr: тег MAX,https://habr.com/ru/rss/tag/max/,low,3,"Технические статьи, кейсы, опыт разработчиков","По публикациям","✅ Активен","RSS-лента, удобно для агрегации"
Frontol: API MAX update (3rd party),Frontol — заметка про обновление API MAX (требует подтверждения),https://frontol.ru/news/obnovilos-api-messendzhera-max-dlya-podtverzhdeniya-vozrasta-neobkhodimo-zamenit-token/,low,3,"Инфоповоды про API MAX (использовать только после подтверждения по официальным источникам)","По публикациям","⚠️ Ограничения","Не официальный источник; только как сигнал, затем проверять по VK/MAX документации"
Sostav.ru,Sostav.ru,https://www.sostav.ru,low,3,"Новости бизнеса, маркетинг, внедрения","Ежедневно","⚠️ Ограничения","Парсинг только для трендов, не источник истины"
Kommersant.ru,Kommersant.ru,https://www.kommersant.ru,low,3,"Аналитика, интервью, стратегия","Ежедневно","⚠️ Ограничения","Парсинг только для контекста"
RBC.ru,RBC.ru,https://www.rbc.ru,low,3,"Новости ИТ-рынка, госзаказы, цифровизация","Ежедневно","⚠️ Ограничения","Парсинг только для мониторинга трендов"

